Text,Type
told the story of boxer jake lamotta and his volatile relationship with his wife vickie,Plot
the story on a young indian man from the slums who finds himself on a game show and through it relives his past,Plot
novelist graham greene,Origin
1949,Year
british film noir,Genre
orson welles,Actor
young wizards and witches,Plot
1937,Year
disney,Genre
a poison apple and prince charming coming to the rescue,Plot
1937,Year
french,Genre
examines class relationships among french officers who are prisoners of war,Plot
based on the philip k dick short story we can remember it for you wholesale,Origin
1966,Year
clint eastwood,Actor
about two men who team up against a third in a race to uncover buried treasure,Plot
cult classic,Genre
true love told as a fairy tale,Plot
rob reiner,Director
relationship between southern white women and the black women who raised their children,Plot
1971,Year
roman polanski,Director
an ambitious scottish lord,Plot
siezes the throne,Plot
fat panda and all his animal friends learn kung fu and fight bad guys,Plot
animated,Genre
angela lansbury paige o hara,Actor
robby benson,Actor
comedy,Genre
sacha baron cohen,Actor
a middle eastern tyrant,Plot
anna faris,Actor
1972,Year
jon voight,Actor
burt reynolds,Actor
a rafting trip turn into a fight to stay alive,Plot
second collaboration,Relationship
quentin tarantino,Director
oscar winner,Award
christoph waltz,Actor
paul newman,Actor
robert redford,Actor
famous outlaws,Plot
oscar,Award
raindrops keep falling on my head,Soundtrack
animated movie,Genre
charles dicken s classic book,Origin
a stingy old man and learning about christmas,Plot
2010,Year
ben affleck,Actor
jeremy renner,Actor
rob banks and eventually fenway park,Plot
hitchcock,Director
classic,Opinion
a young woman spends the evening at the bates motel with a boy and his mother,Plot
charlize theron,Actor
an ugly serial killer,Plot
unintelligent man who has accidentally been present at many historic moments but his true love jenny eludes him,Plot
those three little animals that had that,Plot
80 s cartoon,Origin
that are castaway on an island,Plot
90 s era,Year
mob film,Genre
chronicles the activities of real life mobster henry hill and his associates,Plot
comedy,Genre
two married men who get a vacation from marriage,Plot
disney,Director
a magic genie that will grant wishes,Plot
hybrid,Genre
classic silent films,Genre
animated comedy,Genre
follows its titular character trying to navigate a desolate planet and seek his eva,Plot
1991,Year
disney,Genre
a grotesque hero trying to gain the trust and ultimately love of a young woman,Plot
1971,Year
crime,Genre
stanley kubrick,Director
disney live action,Genre
haley mills,Actor
a girl whose smart pet helps uncover criminal activity,Plot
quentin tarantino,Director
the story of a diamond heist gone bad and names the characters after different colors,Plot
classic,Genre
epic,Opinion
margaret mitchell novel,Origin
a southern damsel in distress,Plot
1990,Year
coen brothers,Director
gabriel burne,Actor
double crossing mobster,Plot
prequel,Relationship
ridley scott,Director
2012,Year
the voyages of explorers dispatched by the weyland corporation,Plot
english language,Genre
adaptation,Origin
swedish novel by stieg larsson,Origin
mikael blomkvist,Character_Name
daniel craig,Actor
he investigates the disappearance of a wealthy patriarch s niece from 40 years ago,Plot
lost the best picture oscar to crash,Award
jamie foxx,Actor
blind piano player,Plot
2011,Year
steven spielberg,Director
animation adventure,Genre
boy and a pirate team up to search for treasure,Plot
inspired but very dark,Opinion
revolving around the spanish revolution explores one method of escape in your own mind,Plot
2010,Year
four guys and a camera chronicling what comes naturally to all,Plot
kate winslet,Actor
leonardo dicaprio,Actor
find love on a ship that eventually hits an iceberg and sinks,Plot
2005,Year
science fiction,Genre
jon favreau,Director
inaccurately depicted as a sequel to jumanji,Relationship
channing tatum,Actor
2012,Year
romantic drama,Genre
he tries to bring back the memory of his wife,Plot
rachel mcadams,Actor
after she s gone through a car accident,Plot
johnny depp,Actor
a weird pale detective,Plot
christina ricci,Actor
a headless horseman,Plot
an eccentric entrepreneur bring dinosaurs to life on a 20 th century caribbean island as a themed attraction,Plot
group of 3 male friends try to plot and murder their employers,Plot
old mans house floats away with a ton of balloons attached to it,Plot
humphrey bogart,Actor
dramatic,Genre
stephen king short story,Origin
a man wrongly convicted of killing his wife,Plot
david fincher,Director
characters forbidden by the titular organizations first two rules to talk about it,Plot
second installment,Relationship
popular,Opinion
survival horror video franchise by konami,Origin
captain ahab,Character_Name
goes on a quest to to hunt the great white whale,Plot
nick cage,Actor
his wife steal a baby from her crib in the middle of the night,Plot
ralph macchio,Actor
learns the meaning of wax on wax off from mr miyagi,Plot
80 s,Year
classic,Genre
buddy ebsen,Actor
scarecrow,Character_Name
tin man,Character_Name
1939,Year
classic,Opinion
classic,Genre
1934,Year
fred astaire,Actor
ginger rogers,Actor
cole porter song night and day,Soundtrack
a has been rock star who gets the chance to make a comeback,Plot
the french revolution and a prisoner jailer conflict,Plot
award winning,Award
russell crow,Actor
nobel prize winning college professor who struggles with schizophrenia,Plot
70 s,Year
a gigantic shark that attacks people who go to the beach,Plot
people try to cheat their own deaths,Plot
guerrilla warfare takes place in the city of algiers in the country algeria,Plot
1970 s,Year
horror,Genre
based on a book by stephen king,Origin
stanley kubrick,Director
jack nicholson,Actor
comedy,Genre
four guys that are battling ghosts and other funny creatures in new york city,Plot
disney,Director
teenagers gettng ready for a big dance in their high school,Plot
summer blockbuster,Opinion
based off a masked character,Origin
cartoon,Genre
creatures living under little kids beds and trying to scare them,Plot
ellen burstyn,Actor
2000,Year
drama,Genre
kristin wiig,Actor
a woman who has a breakdown leading up to a friend s wedding,Plot
the invention of game theory by,Plot
professor john nash,Character_Name
from princeton,Plot
about the two dogs that fall in love and eat spaghetti with each other,Plot
1999,Year
action,Genre
the idea that our world is not real,Plot
keanu reeves,Actor
david lean,Director
1962,Year
epic,Genre
peter o toole,Actor
legendary british wwi hero in arabia who led arab tribes in battle against the turks,Plot
a fired sports agent starts his own company and starts dating his blond assistant with a cute son,Plot
frodo,Character_Name
sam,Character_Name
start their journey with all of their friends,Plot
tolkien s classic trilogy,Origin
a werewolf,Plot
2010,Year
based on a 1941 movie,Relationship
1964,Year
italian,Genre
someone dressed in black killing models,Plot
a group of men have an agreement with their wives that they can pursue other women for one week,Plot
1970,Year
italian mystery film,Genre
revolves around the murders committed by the owner of a bridal shop,Plot
90 s,Year
disney,Genre
the coming of age story of the king of the jungle,Plot
soundtrack by composer hans zimmer,Soundtrack
rza,Director
three people searching for gold in ancient china,Plot
barbra streisand,Actor
1968,Year
romantic musical,Genre
broadway version that came before it,Origin
french film,Genre
where a quiet piano player gets drawn into trouble with pretty gangsters,Plot
2011,Year
runaway,Opinion
comedy,Genre
christin wiig,Actor
classic,Opinion
paul henreid,Actor
lights two cigarettes at once one for himself and one for co star,Plot
bette davis,Actor
classic,Opinion
horror film,Genre
about a woman whose unborn child is of intense interest to her odd neighbors,Plot
third iteration,Relationship
pixar movie,Genre
toys come to life when no ones around,Plot
2011,Year
war drama,Genre
steven spielberg,Director
adaptation of british author michael morpurgo s 1982 children s novel of the same name,Origin
1990,Year
macaulay culkin,Actor
1939,Year
american western,Genre
errol flynn,Actor
michael curtiz,Director
1974,Year
american neo noir,Genre
roman polanski,Director
jack nicholson,Actor
private detective,Plot
gene hackman,Actor
two nyc cops in the narcotics bureau stumble onto a drug smuggling job,Plot
katniss everdeen,Character_Name
her fight to survive,Plot
2011,Year
comedy drama,Genre
seth rogen,Actor
based on screewriter will reiser s own experience with cancer,Origin
2010,Year
jay baruchel,Actor
an average guy who meets his perfect woman,Plot
alice eve,Actor
kevin smith,Director
a hapless convenience store worker who s not even supposed to be there today,Plot
classic,Genre
stanley kubrick,Director
black comedy,Genre
the threat of nuclear war,Plot
comedy,Genre
the dude upset because two guys piss on his rug,Plot
epic,Opinion
charlton heston,Actor
he plays,Plot
moses,Character_Name
and features the parting of the red sea,Plot
james bond,Character_Name
austin powers,Character_Name
makes fun of in gold member,Plot
tom hanks,Actor
tells his incredible life story while waiting for the bus,Plot
inspiring class,Opinion
